"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2021","0.00001766","0.00003033","0.00003033","0.00001766","86,848.92B","-42.00%"
"May 13, 2021","0.00002101","0.00001794","0.00002101","0.00001551","91,382.21B","18.97%"
"May 14, 2021","0.00001846","0.00002089","0.00002122","0.00001846","40,929.23B","-12.14%"
"May 15, 2021","0.00001553","0.00001837","0.00001843","0.00001523","43,724.10B","-15.87%"
"May 16, 2021","0.00001774","0.00001553","0.00001774","0.00001278","61,614.36B","14.23%"
"May 17, 2021","0.00001651","0.00001770","0.00001770","0.00001494","60,193.30B","-6.93%"
"May 18, 2021","0.00001561","0.00001651","0.00001732","0.00001561","27,963.91B","-5.45%"
"May 19, 2021","0.00000910","0.00001559","0.00001559","0.00000841","90,522.63B","-41.70%"
"May 20, 2021","0.00000975","0.00000914","0.00001169","0.00000890","67,254.97B","7.14%"
"May 21, 2021","0.00000820","0.00000964","0.00001025","0.00000718","54,605.33B","-15.90%"
"May 22, 2021","0.00000836","0.00000814","0.00000860","0.00000689","46,320.49B","1.95%"
"May 23, 2021","0.00000810","0.00000832","0.00000929","0.00000734","60,565.88B","-3.11%"
"May 24, 2021","0.00001064","0.00000809","0.00001177","0.00000781","66,919.54B","31.36%"
"May 25, 2021","0.00000938","0.00001065","0.00001065","0.00000920","43,086.58B","-11.84%"
"May 26, 2021","0.00000949","0.00000939","0.00001043","0.00000937","29,904.02B","1.17%"
"May 27, 2021","0.00000880","0.00000949","0.00000949","0.00000873","21,377.82B","-7.27%"
"May 28, 2021","0.00000791","0.00000876","0.00000876","0.00000770","22,969.70B","-10.11%"
"May 29, 2021","0.00000789","0.00000787","0.00000810","0.00000734","15,467.46B","-0.25%"
"May 30, 2021","0.00000785","0.00000791","0.00000803","0.00000765","12,858.28B","-0.51%"
"May 31, 2021","0.00000928","0.00000783","0.00000928","0.00000774","29,003.96B","18.22%"
"Jun 01, 2021","0.00000881","0.00000919","0.00000919","0.00000848","23,622.91B","-5.06%"
"Jun 02, 2021","0.00000944","0.00000884","0.00001002","0.00000871","37,416.27B","7.15%"
"Jun 03, 2021","0.00000981","0.00000944","0.00000997","0.00000939","25,308.73B","3.92%"
"Jun 04, 2021","0.00000880","0.00000981","0.00000984","0.00000844","27,583.50B","-10.30%"
"Jun 05, 2021","0.00000843","0.00000880","0.00000899","0.00000835","15,146.24B","-4.20%"
"Jun 06, 2021","0.00000854","0.00000841","0.00000859","0.00000838","8,726.29B","1.30%"
"Jun 07, 2021","0.00000772","0.00000853","0.00000867","0.00000772","14,317.70B","-9.60%"
"Jun 08, 2021","0.00000720","0.00000774","0.00000774","0.00000678","32,377.18B","-6.74%"
"Jun 09, 2021","0.00000738","0.00000713","0.00000741","0.00000694","21,378.00B","2.50%"
"Jun 10, 2021","0.00000682","0.00000738","0.00000738","0.00000682","15,981.30B","-7.59%"
"Jun 11, 2021","0.00000620","0.00000684","0.00000684","0.00000620","16,655.18B","-9.09%"
"Jun 12, 2021","0.00000627","0.00000621","0.00000634","0.00000571","28,184.80B","1.13%"
"Jun 13, 2021","0.00000685","0.00000628","0.00000685","0.00000616","20,768.01B","9.25%"
